Model,Partition,WeightDecay,AUC_Train,AUC_Valid,AUC_Tests
0,0,0.001,0.7231426951378238,0.6598207848388093,0.6036561725839626
0,0,0.005,0.6964960888671246,0.6638479761046452,0.5945683101044151
0,0,0.01,0.7256108326138224,0.6641260685961479,0.6000354840617422
0,0,0.05,0.7052887279475252,0.6536306519723968,0.5964016532944323
0,0,0.1,0.7272110465341048,0.6725100422288598,0.6038007372799495
0,0,0.5,0.7185066817871363,0.670161705633948,0.614288248861553
1,0,0.001,0.8107875101483267,0.6549490163765579,0.5974004639212517
1,0,0.005,0.8084195672624648,0.6358636316819445,0.6157536091890577
1,0,0.01,0.8194690008891866,0.6595220929034915,0.6164797182302653
1,0,0.05,0.8050197167489272,0.6767844268204758,0.5935300727423265
1,0,0.1,0.75013724403665,0.6728705324956226,0.6158324626595961
1,0,0.5,0.7416509877704609,0.6814913997322072,0.6162990123602815
2,0,0.001,0.9160040722174255,0.6845607168606447,0.6334430710798326
2,0,0.005,0.9146864005979459,0.6907817488927799,0.6201036923137581
2,0,0.01,0.912483408291344,0.6755072613039448,0.6181454977953884
2,0,0.05,0.9033041662908027,0.658234627665053,0.66553643358895
2,0,0.1,0.9126831531334167,0.701843650221444,0.6328713834184294
2,0,0.5,0.8391190608126394,0.6918220208054383,0.6278510457941531
3,0,0.001,0.9892163558808748,0.6564424760531465,0.6224430119397297
3,0,0.005,0.998239023698759,0.6968791842620249,0.6544180942430395
3,0,0.01,0.9987055245557288,0.6977546606241632,0.614143684165566
3,0,0.05,0.9812942177089912,0.6607889586981153,0.6164370059337237
3,0,0.1,0.9749584401860849,0.6997013080646822,0.6310051846156879
3,0,0.5,0.9080645369141355,0.7069832114532907,0.66553643358895
4,0,0.001,1.0,0.6880214234215676,0.620491388543905
4,0,0.005,1.0,0.7134617365331136,0.6303349301161119
4,0,0.01,1.0,0.7298382943660522,0.66602269665727
4,0,0.05,1.0,0.6913791327634153,0.6479718230265277
4,0,0.1,1.0,0.7594911937377691,0.6507974057208192
4,0,0.5,0.964330081573216,0.7256669069935111,0.6709181829531938
5,0,0.001,1.0,0.7276650530435678,0.6473672797524
5,0,0.005,1.0,0.7223709959831085,0.6634862433549523
5,0,0.01,1.0,0.7182099083324751,0.6751828414848109
5,0,0.05,1.0,0.7145432073334019,0.6871160000262845
5,0,0.1,1.0,0.7354207436399217,0.6470781503604262
5,0,0.5,0.9986120955166948,0.7485425893500876,0.6557848877323713
6,0,0.001,0.9999999999999999,0.7421052631578946,0.6767599108955784
6,0,0.005,1.0,0.7305386754557626,0.6758662382294767
6,0,0.01,1.0,0.730868266556803,0.65245989972467
6,0,0.05,1.0,0.7378102791224637,0.6902044276223708
6,0,0.1,0.9999999999999999,0.7527963744978885,0.6714635861244176
6,0,0.5,0.9999999999999999,0.7681120609743537,0.6774235942726095
7,0,0.001,0.9999999999999999,0.7533010608713565,0.6610943547486218
7,0,0.005,1.0,0.7514162117622823,0.6727778106333905
7,0,0.01,1.0,0.749078174889278,0.6750448479113687
7,0,0.05,1.0,0.7628695025234319,0.6755573954698681
7,0,0.1,0.9999999999999999,0.7710680811618085,0.6783566936739804
7,0,0.5,1.0,0.7555361005252857,0.6821810869950914
8,0,0.001,1.0,0.7424657534246575,0.6437531623527246
8,0,0.005,1.0,0.708589968070862,0.6577693667409203
8,0,0.01,1.0,0.7093109486043876,0.636518356430829
8,0,0.05,1.0,0.6658976207642394,0.6342250346626714
8,0,0.1,1.0,0.7073952003295911,0.6343170303782995
8,0,0.5,0.9996990940604905,0.7284684313523535,0.6381151392092311
9,0,0.001,1.0,0.6944278504480379,0.6536821285180147
9,0,0.005,1.0,0.7039035946029457,0.6519933500239846
9,0,0.01,1.0,0.7247502317437429,0.6621654477234346
9,0,0.05,1.0,0.7141518179009168,0.6361700869359512
9,0,0.1,1.0,0.7324647234524668,0.6510471083775242
