Partition,BestModel,WeightDecay,AUC_Train,AUC_Valid,AUC_Tests
0,7,0.1,0.9999999999999999,0.7710680811618085,0.6783566936739804
1,21,0.1,1.0,0.7348851581007313,0.6971698175199269
2,5,0.1,1.0,0.7244927386960552,0.7163312108607514
3,22,0.05,1.0,0.7143784117828819,0.6818722442354828
4,18,0.1,1.0,0.7276238541559378,0.6943902326834493
5,18,0.01,1.0,0.7282315377484807,0.7125922421327235
6,7,0.5,1.0,0.7197136677309712,0.7170211787279621
7,19,0.001,1.0,0.7194149757956534,0.7033860994473686
8,19,0.1,1.0,0.7385209599340817,0.7127433779512554
9,7,0.005,1.0,0.7214852198990628,0.7061131153034874
10,21,0.001,1.0,0.6963641981666495,0.7194722074371964
11,10,0.005,1.0,0.7215367185086003,0.6770753247777317
12,11,0.01,1.0,0.6895766814296014,0.7173760193453849
13,7,0.1,1.0,0.7343289731177258,0.7300451436118832
14,21,0.005,1.0,0.7173035328046143,0.6809260025890223
15,18,0.5,1.0,0.7367700072098053,0.7271209940794185
16,7,0.5,1.0,0.7203522504892368,0.6924320381650797
17,14,0.5,1.0,0.7292306107735091,0.6884762223930714
18,20,0.01,0.9999999999999999,0.7205788443712019,0.7051274469217577
19,13,0.1,1.0,0.7132351426511485,0.7052917249853792
20,20,0.5,0.9999999999999999,0.7008239777526006,0.7340666706093402
21,6,0.5,0.9999999999999999,0.7280461427541456,0.7168569006643406
22,18,0.001,1.0,0.7237614584406221,0.6910258179404788
23,11,0.1,0.9999999999999999,0.7266762797404469,0.6976297960980674
24,14,0.5,1.0,0.76056236481615,0.6643404892857847
25,20,0.005,1.0,0.7270470697291174,0.6653195865449695
26,13,0.01,1.0,0.7414254815119992,0.7100295043402265
27,22,0.5,1.0,0.7298073952003297,0.6904804147692551
28,14,0.01,1.0,0.730930064888248,0.7230666114692373
29,19,0.5,1.0,0.709661139149243,0.6795526379771456
30,18,0.1,1.0,0.7392419404676074,0.7061131153034873
31,22,0.01,1.0,0.7162941600576784,0.7135253415340943
32,22,0.01,1.0,0.7159954681223606,0.6909535355924852
33,6,0.005,1.0,0.6955299206921413,0.7120008411036857
34,7,0.001,1.0,0.7302708826861675,0.7087809910567021
35,20,0.1,1.0,0.7348645586569162,0.7096155236199
36,22,0.5,1.0,0.7150581934287774,0.6805251641137855
37,20,0.5,1.0,0.740488206818416,0.709523527904272
38,22,0.5,1.0,0.7022659388196518,0.6812677009613552
39,21,0.1,1.0,0.7411267895766815,0.6994237125528153
40,7,0.01,1.0,0.7110825007724791,0.7072959173615629
41,10,0.005,1.0,0.7090637552786074,0.6530184451409835
42,6,0.01,1.0,0.7037490987743331,0.6734612073780564
43,7,0.01,1.0,0.7203419507673292,0.6890216255642951
44,14,0.005,1.0,0.6834071480070039,0.7168503295417956
45,6,0.001,1.0,0.7311051601606757,0.708938697997779
46,18,0.05,1.0,0.721856009887733,0.7191370801874084
47,14,0.1,1.0,0.703769698218148,0.6767533397730334
48,20,0.5,1.0,0.7111545988258317,0.7222320789060395
49,7,0.001,1.0,0.7353280461427542,0.7232834585132178
