HU	L12	HUB	L12B	RatioMt/Mb	AUCtop	LLtr	LLval	norm W top	norm F top	AUCtop_s	LLtr_s	LLval_s
1	0.001	10	0.001	1	0.6235163250592235	-22.298712	-22.521458	7.363445	20.166292	0.020753107879692295	0.07033451	0.21145539
3	0.001	10	0.001	1	0.6377804099289319	-21.861767	-22.388191	10.911346	20.391758	0.02060441172456892	0.08712976	0.20525649
5	0.001	10	0.001	1	0.645651663405088	-21.521284	-22.363388	13.431736	20.683062	0.018537894603295666	0.08787025	0.20715757
10	0.001	10	0.001	1	0.654514368112061	-20.862226	-22.438	17.803366	21.27621	0.016941411189985354	0.08082935	0.22559835
15	0.001	10	0.001	1	0.661821608816562	-20.305641	-22.531118	20.920103	21.69042	0.01882319190351723	0.08438849	0.24585119
20	0.001	10	0.001	1	0.6657711401792151	-19.83512	-22.628565	23.441849	21.967684	0.01812115700719379	0.086701475	0.24551001
1	0.01	10	0.001	1	0.6244200226593882	-22.32612	-22.514969	6.008201	20.027779	0.019277525394244863	0.07440394	0.20229879
3	0.01	10	0.001	1	0.6367813369039036	-21.936844	-22.351128	8.4860325	19.978737	0.019317701764650398	0.07376447	0.21062896
5	0.01	10	0.001	1	0.6417680502626429	-21.676487	-22.307158	10.098523	19.955364	0.02035083754456318	0.08151581	0.230861
10	0.01	10	0.001	1	0.6506682459573591	-21.130371	-22.270596	13.212634	19.95249	0.019266574002749243	0.08452082	0.21772341
15	0.01	10	0.001	1	0.6562551241116489	-20.698843	-22.267967	15.416998	19.992918	0.018394123575498633	0.08515212	0.22550875
20	0.01	10	0.001	1	0.6613397878257287	-20.347973	-22.29479	17.11692	20.05089	0.017736880517376114	0.09300582	0.23564795
1	0.1	10	0.001	1	0.6134528787722731	-22.474144	-22.61054	3.9411118	20.08923	0.019761700092660397	0.06904996	0.20621252
3	0.1	10	0.001	1	0.6248839221341024	-22.20634	-22.443123	5.527412	19.941708	0.019879542267085177	0.076817654	0.21392147
5	0.1	10	0.001	1	0.627954681223607	-22.066624	-22.37977	6.267436	19.881714	0.020196057644757348	0.091772154	0.22317852
10	0.1	10	0.001	1	0.6327522916881244	-21.835354	-22.290937	7.4073353	19.735598	0.020217910717274693	0.08524119	0.21620108
15	0.1	10	0.001	1	0.6381182408074983	-21.693327	-22.240063	8.119525	19.651142	0.01952429729664605	0.09495417	0.22896616
20	0.1	10	0.001	1	0.6418360284272324	-21.58626	-22.21374	8.676684	19.588692	0.0195196391353357	0.09326423	0.21716844
1	0.25	10	0.001	1	0.6069416005767845	-22.567192	-22.704256	3.0713403	20.119694	0.02008927254878542	0.06802536	0.19237201
3	0.25	10	0.001	1	0.6155628798022453	-22.394653	-22.576086	4.1309433	20.001814	0.021343298060539292	0.08189275	0.19866684
5	0.25	10	0.001	1	0.6203938613657431	-22.305992	-22.519615	4.5923634	19.94781	0.02055415435017886	0.08354524	0.21210408
10	0.25	10	0.001	1	0.6253775878051292	-22.205027	-22.45983	5.1171412	19.898056	0.02077167982907274	0.09925298	0.20496137
15	0.25	10	0.001	1	0.6268050262642909	-22.152891	-22.429571	5.3888445	19.8654	0.021319491506702884	0.09181436	0.21431582
20	0.25	10	0.001	1	0.6269033886085077	-22.128965	-22.420649	5.502596	19.84592	0.020682325698469905	0.101944365	0.2061617
1	0.5	10	0.001	1	0.6064138428262438	-22.645037	-22.760582	2.196531	20.158918	0.020880922190283355	0.08685699	0.1840552
3	0.5	10	0.001	1	0.60856236481615	-22.599607	-22.72814	2.5639024	20.117897	0.02058406362077825	0.08022247	0.1843971
5	0.5	10	0.001	1	0.6083784117828819	-22.577314	-22.715483	2.684203	20.090263	0.020606939331535002	0.08473913	0.18687998
10	0.5	10	0.001	1	0.6099977340611804	-22.545456	-22.694443	2.87318	20.093925	0.020695250829641697	0.09093389	0.18983455
15	0.5	10	0.001	1	0.6095409413945824	-22.539928	-22.689627	2.8945882	20.074318	0.02068246586326019	0.08362093	0.18984285
20	0.5	10	0.001	1	0.6105138531259656	-22.529373	-22.679941	2.9583454	20.064756	0.020982162307265743	0.08408734	0.18983923
