	Unnamed: 0	top RBM	diffRBM	top RBM (lin)	diffRBM (lin)	top PWM	diffPWM	Normal RBM	PWM	RBMback	PWMback	top RBM_R	diffRBM_R	top RBM (lin)_R	diffRBM (lin)_R	top PWM_R	diffPWM_R	Normal RBM_R	PWM_R	RBMback_R	PWMback_R	top RBM (negatives)	diffRBM (negatives)	difference of top RBM	diffRBM (negatives,lin)	top RBM (negatives,lin)	difference of top RBM (lin)	difference of normal RBM	Normal RBM + V	diffRBM + V	Top RBM + V	Calis method	top PWM (negatives)	diffPWM (negatives)	Difference of PWM	difference of diffRBM	Deep classifier	Linear classifier	top RBM_HPP	diffRBM_HPP	backRBM_HPP
0	0	0.6178924399948659	0.4669490437684507	0.5890129636760365	0.3750481324605314	0.5727121037094083	0.3717109485303556	0.4776023616993967	0.45578231292517	0.4704145809267103	0.3482223077910409	0.4693714897959183	0.8561439387755102	0.2502163265306122	0.8383755102040816	0.2906938775510204	0.8344530612244897	0.8213102040816327	0.837138775510204	0.9056450918367348	0.861195918367347	0.603901938133744	0.3412912334745218	0.6417661404184315	0.3464253625978693	0.5992812219227314	0.6417661404184315	0.6522911051212938	0.6127583108715184	0.6127583108715184	0.6390707226286741	0.6578744705429342	0.6119881915030163	0.6798870491592864	0.6286741111538955	0.6417661404184315	0.6454883840328584	0.6130150173276858	0.6018739927576968	0.5284456988083277	0.52417957609051
1	1	0.6670517263509176	0.6005647542035683	0.6311128224874856	0.5827236554999358	0.6250802207675523	0.5333076626877166	0.5665511487613913	0.5990245154665639	0.5175202156334232	0.4878706199460916	0.544048081632653	0.9264548571428571	0.2678857142857143	0.9035142857142856	0.3219714285714286	0.9014979591836736	0.8804081632653061	0.8959061224489796	0.9210067857142857	0.914269387755102	0.5816968296752664	0.4896675651392632	0.6854062379668848	0.5284302400205365	0.5811834167629315	0.6854062379668848	0.6570401745603902	0.6219997432935438	0.5737389295340777	0.6137851366961878	0.5868309587986138	0.5937620331151329	0.5530740598126043	0.6386856629444231	0.6854062379668848	0.6506225131562059	0.6472853292260301	0.6607749542855414	0.6689639512270293	0.6432114329112417
2	2	0.7200616095494802	0.5852907200616095	0.6945193171608266	0.4742651777692209	0.6913104864587344	0.3945578231292517	0.5471698113207547	0.4723398793479656	0.362084456424079	0.3244769605955589	0.571736193877551	0.8989119387755102	0.3183224489795918	0.8826489795918366	0.3742489795918367	0.8608122448979592	0.8381591836734694	0.8549020408163266	0.8783345102040818	0.8568571428571429	0.6154537286612758	0.3849313310229752	0.7440636632011295	0.4304967269926839	0.5506353484790143	0.7440636632011295	0.6712873828776793	0.6735977409831857	0.5846489539211911	0.6139134899242716	0.5295854190732897	0.5831087151841868	0.701707097933513	0.6850211782826338	0.7440636632011295	0.7462456680785521	0.6960595558978309	0.6869940985262397	0.6359156021562726	0.5485550198532049
3	3	0.5954306250802208	0.5120010268258246	0.5960723912206393	0.5014760621229624	0.5979976896418945	0.5021178282633808	0.5779745860608393	0.5716852778847388	0.4152226928507251	0.4494930047490694	0.46627334693877553	0.9167877346938775	0.2099265306122449	0.8893102040816326	0.2703020408163265	0.9034408163265306	0.8805061224489796	0.9031183673469388	0.9480107959183675	0.9282204081632652	0.5955589783083045	0.4244641252727506	0.6533179309459634	0.4470542934154794	0.6218713900654602	0.6533179309459634	0.6997817995122577	0.67513797972019	0.5389552047233988	0.6302143498908997	0.6062122962392504	0.6561417019638043	0.6008214606597356	0.664099602104993	0.6533179309459634	0.658323706841227	0.6495956873315365	0.5921881443410325	0.6047327966495106	0.6209698906261476
4	4	0.6639712488769092	0.5487100500577589	0.6148119625208573	0.5141830317032473	0.610062893081761	0.5258631754588627	0.6031318187652419	0.5810550635348478	0.5642407906558851	0.4675908099088691	0.5426400408163266	0.8994969795918367	0.2585142857142857	0.8680244897959184	0.320534693877551	0.8764734693877549	0.875591836734694	0.8718897959183673	0.9272085000000001	0.8952081632653062	0.6548581696829675	0.4260043640097548	0.7242972660762419	0.4476960595558978	0.6806571685277885	0.7242972660762419	0.74791426004364	0.6417661404184315	0.597355923501476	0.6167372609421128	0.6429213194711847	0.6744962135797715	0.5937620331151329	0.6928507251957386	0.7242972660762419	0.719676549865229	0.7009369785650109	0.6652410252520476	0.6244129370597479	0.6169670851097844
5	5	0.731998459761263	0.6056988833269157	0.6190476190476191	0.4560390193813374	0.6103195995379284	0.4453857014503914	0.5668078552175587	0.5213708124759338	0.5213708124759338	0.4052111410601976	0.5836609489795918	0.9189981530612246	0.2880938775510204	0.8946653061224488	0.3418244897959184	0.8986489795918368	0.8852102040816326	0.8925061224489796	0.9112799285714287	0.8940367346938775	0.5893980233602876	0.3934026440764985	0.7484276729559748	0.4166345783596457	0.5988961622384803	0.7484276729559748	0.6924656655114876	0.6748812732640226	0.5729688101655757	0.6682069054036709	0.590424849184957	0.6549865229110512	0.632524707996406	0.651007572840457	0.7484276729559748	0.694776023616994	0.6657681940700809	0.7459963543649446	0.6679318054054677	0.5691160847204493
6	6	0.6358618919265819	0.525734822230779	0.6520343986651265	0.514311384931331	0.6611474778590682	0.5223976383006033	0.5411372096008215	0.5850340136054422	0.5307405981260429	0.4636118598382749	0.49102141836734703	0.8874306836734694	0.2722122448979592	0.8774693877551021	0.3447632653061224	0.8664938775510203	0.8718408163265307	0.8619346938775511	0.8750496938775509	0.8634693877551022	0.626877165960724	0.433705557694776	0.6945193171608266	0.4584777307149275	0.6121165447311	0.6945193171608266	0.681683994352458	0.6756513926325247	0.6551148761391349	0.7255807983570787	0.638685662944423	0.627262225644975	0.57938647156976	0.6872031831600565	0.6945193171608266	0.725452445128995	0.693107431651906	0.6196962706891229	0.581968700538012	0.5603618079162225
7	7	0.6132717237838532	0.5175202156334232	0.5671929149018098	0.4799127198049031	0.5529457065845207	0.4629700936978565	0.5661660890771403	0.5371582595302271	0.520857399563599	0.4637402130663586	0.5102380204081631	0.9020398775510203	0.2374938775510204	0.8899510204081633	0.2756163265306122	0.8990367346938775	0.8755673469387756	0.8921142857142856	0.9036448265306122	0.9043836734693876	0.6267488127326403	0.4276729559748427	0.6702605570530099	0.4600179694519316	0.6506225131562059	0.6702605570530099	0.7242972660762419	0.6110897189064306	0.6098061866255936	0.6768065716852778	0.5912591451675009	0.6787318701065331	0.6044153510460788	0.6490822744192016	0.6702605570530099	0.7408548324990374	0.6697471441406752	0.6311523692067216	0.6059075226147951	0.6075584758614697
8	8	0.625593633679887	0.5385701450391477	0.6726992683865999	0.5003208830702092	0.6829675266332949	0.4905660377358491	0.5451161596714157	0.5553844179181106	0.5166217430368373	0.4369143883968682	0.5376867346938776	0.8967174183673469	0.3063612244897959	0.8827428571428572	0.3632367346938775	0.8777183673469388	0.8632244897959184	0.8721877551020408	0.8929936734693877	0.8668285714285714	0.6232832755743806	0.4117571556924657	0.6766782184571941	0.4435887562572199	0.6519060454370428	0.6766782184571941	0.6546014632268001	0.7137723013733795	0.5505069952509305	0.6495956873315364	0.658708766525478	0.6574252342446412	0.6017199332563213	0.7289179822872545	0.6766782184571941	0.7204466692337312	0.7117186497240404	0.6544918266052628	0.6284356653908064	0.540584693805541
9	9	0.6743678603516877	0.6159671415736105	0.6748812732640227	0.5682197407264793	0.677191631369529	0.5524322936721858	0.6530612244897959	0.6181491464510332	0.5025028879476319	0.4734950584007187	0.5279301326530612	0.899161693877551	0.2863224489795918	0.8863795918367348	0.3422081632653061	0.8979714285714286	0.8749755102040818	0.8925673469387755	0.921346224489796	0.9003102040816325	0.7201899627775638	0.4220254139391605	0.7535618020793223	0.5085354896675651	0.6467719163136952	0.7535618020793223	0.7712745475548709	0.7147991271980491	0.6227698626620459	0.721730201514568	0.6504941599281222	0.6823257604928763	0.5791297651135926	0.725452445128995	0.7535618020793223	0.730329867796175	0.7248106789885764	0.6579315125640951	0.6511361525156274	0.6195299271881132
