V_gene,RBM_VU_id
TRBV6-1,0
TRBV24-1,1
TRBV9,2
TRBV7-3,3
TRBV11-1,4
TRBV4-1,5
TRBV6-4,6
TRBV7-2,7
TRBV15,8
TRBV5-4,9
TRBV30,10
TRBV13,11
TRBV10-3,12
TRBV12-3,13
TRBV6-9,14
TRBV6-6,15
TRBV4-3,16
TRBV7-7,17
TRBV11-3,18
TRBV29-1,19
TRBV12-5,20
TRBV6-3,21
TRBV16,22
TRBV5-5,23
TRBV3-1,24
TRBV7-9,25
TRBV5-6,26
TRBV18,27
TRBV4-2,28
TRBV6-8,29
TRBV27,30
TRBV6-5,31
TRBV20-1,32
TRBV19,33
TRBV5-8,34
TRBV5-1,35
TRBV28,36
TRBV11-2,37
TRBV14,38
TRBV7-6,39
TRBV7-4,40
TRBV10-1,41
TRBV2,42
TRBV10-2,43
TRBV6-2,44
TRBV7-8,45
TRBV12-4,46
TRBV25-1,47
