J_gene,RBM_VU_id
TRAJ10,0
TRAJ11,1
TRAJ12,2
TRAJ13,3
TRAJ14,4
TRAJ15,5
TRAJ16,6
TRAJ17,7
TRAJ18,8
TRAJ20,9
TRAJ21,10
TRAJ22,11
TRAJ23,12
TRAJ24,13
TRAJ25,14
TRAJ26,15
TRAJ27,16
TRAJ28,17
TRAJ29,18
TRAJ3,19
TRAJ30,20
TRAJ31,21
TRAJ32,22
TRAJ33,23
TRAJ34,24
TRAJ35,25
TRAJ36,26
TRAJ37,27
TRAJ38,28
TRAJ39,29
TRAJ4,30
TRAJ40,31
TRAJ41,32
TRAJ42,33
TRAJ43,34
TRAJ44,35
TRAJ45,36
TRAJ46,37
TRAJ47,38
TRAJ48,39
TRAJ49,40
TRAJ5,41
TRAJ50,42
TRAJ52,43
TRAJ53,44
TRAJ54,45
TRAJ56,46
TRAJ57,47
TRAJ58,48
TRAJ6,49
TRAJ7,50
TRAJ8,51
TRAJ9,52
